Gewicht	Groesse
88.3	1.89
53.3	1.64
70.7	1.89
82.6	1.92
65.3	1.77
78.4	1.85
67.8	1.75
70.1	1.80
64.6	1.72
75.4	1.81
80.3	1.73
73.7	1.79
119.3	2.07
86.3	1.75
88.3	1.86
70.4	1.81
80.8	1.75
79.2	1.93
66.8	1.83
70.8	1.88
72.3	1.76
66.8	1.76
95	1.91
50.6	1.66
80.6	1.86
82.8	1.76
61.5	1.74
88.5	1.86
66.3	1.72
56.6	1.66
107.5	1.85
59.6	1.58
103.7	1.99
80.2	1.87
64.9	1.79
73.9	1.78
67.1	1.86
59.9	1.76
73.9	1.76
95.9	1.95
73.9	1.83
96	1.72
67.9	1.82
79.8	1.73
92.4	1.95
64.2	1.70
79.2	1.79
81	1.87
60.3	1.70
65.2	1.83
53.1	1.70
68.7	1.72
76.6	1.81
94.5	1.96
75.79	1.80
83.12	1.70		
