['Gewicht', 'Groesse', 'BMI']
['88.3', '1.89', 24.719352761680803]
['53.3', '1.64', 19.81707317073171]
['70.7', '1.89', 19.792279051538312]
['82.6', '1.92', 22.40668402777778]
['65.3', '1.77', 20.84330811708002]
['78.4', '1.85', 22.907231555880205]
['67.8', '1.75', 22.13877551020408]
['70.1', '1.80', 21.6358024691358]
['64.6', '1.72', 21.836127636560303]
['75.4', '1.81', 23.015170477091665]
['80.3', '1.73', 26.830164723178186]
['73.7', '1.79', 23.0017789706938]
['119.3', '2.07', 27.84195663842797]
['86.3', '1.75', 28.179591836734694]
['88.3', '1.86', 25.523181870736497]
['70.4', '1.81', 21.488965538292483]
['80.8', '1.75', 26.383673469387755]
['79.2', '1.93', 21.262315766866227]
['66.8', '1.83', 19.946848218818115]
['70.8', '1.88', 20.03168854685378]
['72.3', '1.76', 23.340650826446282]
['66.8', '1.76', 21.5650826446281]
['95', '1.91', 26.040952824758094]
['50.6', '1.66', 18.362607054724926]
['80.6', '1.86', 23.297491039426518]
['82.8', '1.76', 26.730371900826444]
['61.5', '1.74', 20.313119302417757]
['88.5', '1.86', 25.580992022199094]
['66.3', '1.72', 22.410762574364522]
['56.6', '1.66', 20.53999129046306]
['107.5', '1.85', 31.40978816654492]
['59.6', '1.58', 23.87437910591251]
['103.7', '1.99', 26.18620741900457]
['80.2', '1.87', 22.934599216448852]
['64.9', '1.79', 20.255297899566184]
['73.9', '1.78', 23.324075243024872]
['67.1', '1.86', 19.39530581570123]
['59.9', '1.76', 19.33755165289256]
['73.9', '1.76', 23.85717975206612]
['95.9', '1.95', 25.220249835634455]
['73.9', '1.83', 22.06694735584819]
['96', '1.72', 32.44997295835587]
['67.9', '1.82', 20.498732037193577]
['79.8', '1.73', 26.66310267633399]
['92.4', '1.95', 24.299802761341226]
['64.2', '1.70', 22.21453287197232]
['79.2', '1.79', 24.71832964014856]
['81', '1.87', 23.163373273470786]
['60.3', '1.70', 20.86505190311419]
['65.2', '1.83', 19.469079399205707]
['53.1', '1.70', 18.373702422145332]
['68.7', '1.72', 23.222011898323423]
['76.6', '1.81', 23.381459662403465]
['94.5', '1.96', 24.59912536443149]
['75.79', '1.80', 23.391975308641975]
['83.12', '1.70', 28.76124567474049]
